                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.5205,                 1.5919,                 1.2707,                0.24443,                    0.3,                0.16228,                0.06954,                 1.9766,                 3.6926,                 1.6606,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.4762,                 1.4277,                 1.2636,                0.28293,                    0.4,                0.18264,                0.07862,                 2.0857,                 4.1598,                 1.9107,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.4606,                 1.4508,                 1.2996,                0.30699,                0.35653,                0.25951,                0.09317,                 2.2993,                 5.3225,                 1.9966,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.5881,                 1.5633,                 1.4567,                0.40605,                    0.4,                0.31287,                0.12894,                 2.3484,                 4.7692,                 2.0235,                0.00167,                0.00167,                0.00167
                     52,                 1.4369,                 1.5273,                 1.3576,                0.46762,                    0.4,                0.31991,                 0.1066,                 2.4314,                 4.3774,                 2.2118,              0.0016634,              0.0016634,              0.0016634
                     53,                  1.442,                  1.429,                   1.31,                0.21973,                    0.2,                0.11241,                0.04833,                 2.5493,                 6.3313,                 2.3844,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.5276,                 1.6088,                 1.3418,                0.22318,                    0.3,                0.11179,                0.05038,                 2.6208,                 5.3816,                 2.4699,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.3967,                 1.3861,                 1.2991,                0.26059,                    0.4,                0.22077,                0.05841,                 2.9832,                 4.6979,                 2.7534,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.5903,                 1.6401,                 1.4157,                0.26786,                    0.5,                0.23039,                0.05563,                 2.6876,                 5.0399,                 2.3683,               0.001637,               0.001637,               0.001637
                     57,                 1.3847,                 1.3651,                 1.2336,                0.29765,                    0.4,                0.23136,                0.09981,                 2.2259,                 5.4583,                 2.1963,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.4892,                 1.4754,                 1.3094,                0.28254,                    0.7,                0.42611,                0.21949,                 1.9194,                 6.3803,                 2.0672,              0.0016238,              0.0016238,              0.0016238
